laptop	0.0958295 -0.0604901 0.0974238 0.0089097 0.0527122 0.0654737 0.0175487 -0.0591153 -0.162555 -0.178079 -0.144003 -0.167692 -0.0211537 -0.0853296 -0.0549866 0.122062 0.0659395 -0.0944622 -0.0108316 0.084931 0.0265738 0.0530568 -0.0549973 0.0530005 -0.159622 -0.0642277 0.162825 0.0211428 -0.0549278 -0.113624 0.0704868 0.078387 -0.0888393 -0.000477078 0.165564 -0.0533001 -0.100762 0.0907135 -0.0252871 -0.00190498 0.0744062 0.141643 0.0314446 0.10862 0.0480233 0.0622362 0.0330684 0.119533 -0.107346 0.141442 -0.0911322 0.0235596 -0.0770739 0.0856329 0.1335 -0.0559295 0.120534 -0.0173191 -0.11863 -0.129871 -0.116429 -0.103595 0.108689 -0.116882 -0.0461962 0.0916525 0.059791 -0.225727 0.00913991 -0.00319358 0.220108 0.0734161 -0.0792645 0.0749885 0.0686899 -0.198028 0.354494 0.0367264 0.0717163 0.0334286 -0.00041466 0.110627 -0.0966774 0.0838313 -0.0163995 0.0957353 0.00408445 0.103651 -0.0316163 0.144358 -0.154376 0.0042081 -0.0834358 -0.0416889 -0.0493312 0.00382548 0.0553741 0.0179921 -0.0459139 -0.11834
calculator	-0.0345911 -0.0608121 -0.0213538 -0.0185845 -0.275473 0.125778 -0.0789119 -0.0245415 -0.0452892 -0.132807 -0.0987121 -0.123541 0.0645747 -0.174038 -0.0441638 0.0979185 0.0335366 -0.207962 0.103151 0.118904 -0.0337878 -0.0775153 -0.00811299 -0.110651 -0.187345 0.00717407 0.0140221 0.0160422 0.136119 -0.0534115 -0.062773 -0.0160219 0.0593207 0.0592065 0.193031 0.0645546 0.0206189 -0.00240592 -0.114815 -0.000735828 0.120062 0.0417885 0.00850067 0.0269324 0.000327895 -0.0230386 0.0525741 0.087289 -0.138354 0.105579 -0.0506666 -0.00748531 -0.192204 0.0480141 0.18582 -0.0166045 0.147319 -0.0324106 -0.172574 -0.0314091 -0.0939113 -0.15021 0.0765408 -0.014839 -0.0640759 0.0820667 0.15452 -0.169093 -0.0991922 0.110339 0.190391 -0.000648154 -0.0374522 0.0605808 -0.0477338 -0.0649498 0.210548 0.0590919 0.00265249 0.081008 -0.123901 -0.0505039 -0.0444182 0.0582053 0.0177806 0.0680062 -0.0244295 -0.0155839 -0.0327945 0.240815 -0.0742934 0.0947733 -0.195307 -0.0536774 -0.0691788 -0.0321435 0.0706737 0.0206758 -0.0678053 -0.142776
interface	-0.0261331 -0.0987542 0.0898042 0.116155 -0.07146 0.0480185 0.0441394 0.0751648 0.0303752 0.0734572 -0.0663214 -0.0419063 0.0582021 -0.261545 0.00593946 -0.00411348 -0.0143813 -0.115906 0.025748 0.0276576 -0.0236196 -0.00570636 -0.10444 -0.108929 -0.151445 -0.118334 0.139421 0.00209597 0.00357548 0.016833 0.0908514 -0.111246 0.128631 -0.0491881 0.0524049 -0.0242877 -0.127589 0.0603871 0.0707313 -0.00186899 -0.0647664 0.0416694 -0.10943 0.0571051 0.0296233 0.011129 0.0252053 0.0162725 -0.217897 0.145477 -0.0956077 0.00326831 -0.0934836 0.015985 0.158184 0.0230052 0.179895 -0.0615764 0.0178079 -0.0741568 -0.0175924 -0.167478 0.0239004 -0.054526 -0.0854218 0.106073 0.00535583 -0.122072 0.00911468 -0.0074987 0.191055 0.129345 -0.049827 0.233259 0.0443858 -0.061845 0.254774 0.0129247 -0.0242103 0.025563 -0.0535428 -0.0272366 -0.075054 0.109913 0.086709 0.0630022 0.14505 0.0300241 0.161408 -0.00102207 -0.0869763 0.153869 -0.263309 -0.112944 -0.148528 -0.00698363 0.0430334 0.221475 -0.0808454 -0.0830009
programmer	0.078067 -0.0725981 0.00199402 -0.02804 0.00352821 0.126117 0.0662667 0.017566 -0.0272402 -0.00388906 -0.117031 -0.0932894 0.0885665 -0.089764 0.064445 -0.110719 0.0419951 -0.100844 0.0510894 0.0622078 0.0699995 0.0434291 -0.0597726 -0.129632 -0.160776 -0.123439 -0.0742347 -0.0324205 -0.0220056 0.0298272 0.05255 -0.0865773 0.198454 -0.15839 0.102128 0.0116989 -0.0567093 0.00518764 0.0186009 0.00716138 0.0836136 0.117052 0.062623 -0.0531682 0.0713487 0.112618 0.10095 0.0456842 -0.0549662 0.0835724 -0.165955 -0.0425477 -0.224451 0.0353793 0.0247747 0.00945204 0.123176 -0.172847 -0.0127237 0.0996084 -0.063481 -0.128189 0.0528437 -0.0504911 -0.0413636 0.178391 0.0311051 -0.0761633 -0.164581 -0.104091 0.197963 0.148528 -0.118835 0.16373 0.0540469 -0.0524284 0.209754 0.0928549 -0.0142301 -0.0734863 -0.0908029 -0.0525863 0.183807 0.0612267 -0.0536757 0.176009 0.054748 -0.0322802 0.10924 0.175608 -0.0597023 0.206717 -0.178236 -0.0997587 -0.17227 -0.0215015 0.0107975 0.0733929 0.000229206 -0.03059
vlsi	-0.0267443 -0.106787 0.138257 0.114206 -0.118507 0.018282 -0.00735739 0.129888 0.0415595 0.0604954 -0.0275852 -0.129239 0.0591995 -0.067011 0.044131 -0.0204769 0.128158 -0.0982482 0.0730646 -0.00640081 -0.0521783 -0.0440675 0.0984353 -0.0572095 -0.0972682 -0.00802813 0.112042 -0.0468474 -0.00426175 -0.107451 0.00942082 -0.0748109 0.112991 0.0444352 0.182131 0.0309654 -0.087677 0.121197 -0.0630179 -0.0586377 0.0803971 -0.0182909 0.0185992 0.119331 0.030466 -0.0170333 0.0318793 0.153301 -0.191173 0.114722 -0.0123518 -0.0243363 -0.251114 -0.0856872 0.0163636 0.0169184 0.0894454 -0.0789839 0.0337511 0.0457644 -0.00750977 -0.0401075 -0.0327585 -0.0686796 -0.108117 0.163598 0.0495049 -0.0945155 0.0113428 0.0637511 0.0674789 0.0982559 -0.0633622 0.109466 -0.00696518 -0.0308488 0.287799 0.139983 0.217792 -0.0152991 -0.0891234 0.0575918 0.080853 0.122056 -0.0642207 0.0653103 0.107096 -0.071059 0.0584464 0.195328 -0.163978 -0.0174564 -0.210004 -0.169394 -0.228751 -0.0133817 0.122893 -0.102151 -0.00366796 -0.126267
technology	0.122147 -0.142121 0.089714 0.124937 0.112098 0.186338 0.00154983 0.0679465 -0.0482205 -0.0600228 -0.0656336 -0.135675 0.11038 -0.0413657 -0.149154 -0.029615 0.0657828 0.0184902 -0.0641277 -0.0381981 -0.116465 0.0102642 0.0946129 -0.0895058 -0.183167 -0.0699652 0.0839217 -0.0524215 0.0756421 -0.107381 0.028733 -0.139242 -0.045797 0.0814621 0.229947 -0.0257002 -0.150916 0.0835636 -0.0704148 -0.0387892 0.0803871 0.0797484 -0.0232334 0.0166928 0.0477765 -0.0442248 0.184338 0.126907 -0.167005 0.0184682 0.0359085 -0.0810191 -0.0860851 -0.00750152 0.0566949 0.0120251 0.0423723 0.0210524 0.0677904 -0.0905451 0.00872438 -0.130601 0.089674 -0.151515 -0.0933785 0.0394309 0.136092 -0.0528356 0.0320596 0.140852 0.0929296 0.153607 -0.139473 0.00440527 0.048599 0.0521252 0.206468 0.0575034 -0.0408047 0.104993 -0.138851 0.00528917 0.0234366 0.251856 0.084149 0.0166018 0.0421184 -0.0166145 0.0829212 0.0230783 -0.145119 -0.0668886 -0.221367 -0.173231 -0.17537 0.0787238 -0.0237554 -0.0435951 0.0527068 -0.0764482
digitizer	0.0816654 -0.155605 0.188866 0.143694 -0.144304 0.168556 -0.0828142 0.0152048 0.00492426 -0.0577327 -0.147667 -0.0208181 0.0783361 -0.150081 0.0126044 0.0027447 -0.0349896 -0.138068 0.0361866 0.0300625 -0.0462944 0.0371291 -0.100332 -0.0881374 -0.148176 -0.110913 0.0835154 0.0736548 0.0672723 -0.0900665 0.042958 -0.0135382 -0.0527217 -0.00348187 0.131621 0.125509 -0.0461075 0.0819095 -0.0955159 0.018576 -0.0415629 0.120782 0.0914809 0.0258581 -0.0181305 -0.0113628 -0.0235315 0.0429379 -0.134535 0.134112 -0.0836794 0.120819 -0.201049 0.0416097 0.122266 -0.00479318 0.0843384 -0.0392134 -0.173967 -0.0553381 0.0324266 -0.0853807 -0.00329384 -0.100362 -0.0693101 -0.0792638 0.109636 -0.0909624 -0.039972 -0.00602951 0.140303 0.142581 -0.00857059 0.198432 0.0474839 -0.0999052 0.241212 0.085627 -0.0298789 0.080657 -0.0416954 0.0437583 -0.114516 0.181246 0.0480762 0.131301 0.0525616 0.104123 0.0766718 0.0618673 -0.138156 0.135769 -0.16747 -0.046548 -0.162652 0.0384976 0.0740618 0.00665301 -0.195719 -0.0983197
multimedia	0.0998976 -0.181591 0.0708592 0.170599 0.142731 0.170255 0.00151551 0.0595939 -0.0728275 -0.0272763 -0.154579 -0.234797 -0.0011674 0.0269531 -0.02357 -0.106338 0.0935422 -0.039704 -0.0366977 0.197328 -0.0543787 0.06162 -0.109841 0.0235664 -0.089297 -0.118967 0.0840677 0.124177 -0.0406384 -0.10601 0.0906922 -0.144611 0.0474625 -0.059812 0.140205 0.0307598 -0.126711 0.00404578 -0.0556334 0.0238953 0.126035 -0.00339294 -0.0844153 0.101219 -0.0280864 -0.0138968 0.177559 0.0310037 -0.155715 0.0955116 -0.024467 -0.0649394 -0.0492411 0.0623958 0.0458772 -0.00272642 0.0546775 -0.0395325 0.145508 -0.0965551 -0.0949616 -0.163911 0.0745336 -0.130688 -0.04563 0.0258 0.00551646 -0.0228228 0.0955922 0.0146405 0.183227 0.129925 -0.0158957 0.109884 0.0850431 -0.0843393 0.226581 -0.028898 -0.0155938 0.00180654 -0.0220381 -0.0210094 -0.0590952 0.200854 0.00375885 0.181197 0.171293 0.0364217 0.113687 0.0550473 -0.11622 0.0819508 -0.187902 -0.0398736 -0.137193 0.0302892 0.0771919 0.103797 0.0508923 -0.00377965
timesharing	-0.0803903 -0.0359051 -0.0166113 0.165745 -0.0581103 0.22936 -0.0307941 0.11647 -0.0616858 -0.083778 0.0637591 -0.087358 0.0277408 -0.0940244 0.0766572 -0.0676107 0.0263666 -0.103356 -0.0312175 0.0773719 0.0260924 0.0822299 -0.0728598 -0.0567818 -0.143055 0.00458757 0.1356 -0.0299989 0.03884 0.107704 -0.023911 -0.119226 0.0820896 0.0789995 0.0734689 0.0189401 -0.0816821 0.130299 0.0162079 -0.0964611 0.118753 -0.122412 -0.0178899 0.0261453 0.0614736 0.14522 0.0222809 0.115292 -0.199164 0.0958224 -0.167987 -0.137202 -0.168478 -0.0368229 0.118043 -0.0314524 0.071981 -0.017146 0.0192434 0.0747239 -0.0686968 -0.176404 0.0338085 0.00140217 0.039563 0.205152 0.0142416 -0.0819043 -0.0412972 0.000844622 0.166715 0.0870516 -0.107379 0.026497 -0.0508632 -0.115045 0.333275 0.122226 -0.132671 -0.000777003 -0.185484 0.00888247 -0.0359572 0.154976 -0.0583725 0.0971577 -0.00675144 -0.0666431 -0.0259576 0.138719 -0.059906 0.169078 -0.180284 -0.0795823 0.0010355 -0.012065 -0.039506 -0.0140725 0.0185928 -0.100784
programmable	-0.0283713 -0.108395 0.0880539 0.064088 -0.248525 0.0439483 -0.000991432 0.0880443 0.000173097 0.0316339 -0.123111 -0.115522 0.0842807 -0.19096 0.0872618 0.075209 -0.013191 -0.0179325 0.144893 0.116497 -0.0342328 0.0209588 -0.0533084 -0.109496 -0.118337 0.0715969 0.0450815 -0.0302594 0.13567 -0.0427609 0.0748691 -0.0800517 0.19426 0.0226433 0.128095 0.110548 -0.00405589 0.0439749 -0.0656797 0.00322296 0.0664673 0.0480329 -0.00485329 0.0890972 0.0204139 -0.0687439 0.0262104 0.12434 -0.190315 0.147959 -0.107379 -0.0356729 -0.179971 0.0599351 0.119346 -0.0594992 0.134519 0.0641562 -0.0308726 0.0180135 0.032112 -0.0247338 0.124331 0.0038129 -0.133876 0.0181574 0.132523 -0.0685697 -0.0530044 0.0656186 0.146915 0.144886 -0.0585507 0.143203 0.083864 -0.0954623 0.269141 0.133513 0.0770729 0.102041 -0.135386 0.0424905 -0.087208 0.080371 0.0802988 0.0427073 -0.0130954 0.0556601 0.14674 0.0921366 -0.15152 0.102466 -0.17854 -0.0643717 -0.18548 0.0249389 0.0418474 0.0613444 -0.0885942 -0.0837662
